lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
31,11,10,1,8,2,1,20,16,2,2,10,2,2,34,3.235294117647059,2.772727272727273,17,17,14,11,3,2,3,97.076,10.78,22.13,64.166,15.092,3.516,1.0
27,12,11,1,9,2,1,23,19,2,2,12,2,3,34,3.235294117647059,2.742857142857143,19,18,14,11,4,2,3,101.252,11.342,25.752,64.158,15.114,3.6012024048096194,0.998
30,11,10,1,8,2,1,21,17,2,2,10,2,3,34,3.235294117647059,2.8059701492537314,17,17,14,11,4,2,3,100.104,10.714,25.236,64.154,15.406,3.646,1.0
29,11,10,1,8,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.7794117647058822,18,17,14,11,4,2,3,100.25,10.78,25.318,64.152,15.202,3.614,1.0
28,12,11,1,9,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.739130434782609,18,18,15,11,3,2,3,99.562,11.576,23.834,64.152,15.118,3.636,1.0
29,12,11,1,9,2,1,21,17,2,2,10,3,2,34,3.235294117647059,2.764705882352941,18,17,15,10,4,2,3,100.054,11.896,24.008,64.15,14.68,3.652,1.0
30,10,9,1,7,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.7761194029850746,18,16,15,10,4,2,3,98.906,10.178,24.58,64.148,14.954,3.5791583166332663,0.998
31,11,10,1,8,2,1,20,16,2,2,8,3,3,34,3.235294117647059,2.8484848484848486,17,17,14,11,4,2,3,99.498,9.662,25.694,64.142,15.246,3.490981963927856,0.998
30,11,10,1,8,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.8358208955223883,16,17,15,11,4,2,3,101.76,10.704,26.924,64.132,14.928,3.564,1.0
29,12,11,1,9,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.823529411764706,16,18,15,11,4,2,3,101.286,11.118,26.046,64.122,15.004,3.522,1.0
30,12,11,1,9,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.7761194029850746,17,17,15,11,3,2,3,99.232,11.876,23.234,64.122,14.89,3.592,1.0
29,11,10,1,8,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.764705882352941,18,17,15,10,4,2,3,99.456,10.68,24.664,64.112,15.19,3.66,1.0
29,12,11,1,9,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.8088235294117645,17,17,15,11,4,2,3,101.244,11.396,25.738,64.11,15.53,3.572,1.0
28,12,11,1,9,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.7681159420289854,18,18,14,11,4,2,3,100.57,11.362,25.098,64.11,15.386,3.638,1.0
