lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
41,5,1,4,2,3,0,9,5,4,0,0,0,4,44,3.090909090909091,3.0508474576271185,8,19,13,8,6,4,1,32.356,2.664,4.692,25.0,0.9,3.881763527054108,0.998
42,5,3,2,1,4,0,8,3,5,0,0,2,1,44,3.090909090909091,3.0517241379310347,7,19,13,9,6,3,1,31.572,2.644,3.938,24.99,0.666,3.8293172690763053,0.996
36,7,5,2,3,4,0,12,3,8,1,0,3,0,44,3.090909090909091,2.96875,9,22,14,8,6,4,1,34.096,3.802,5.312,24.982,1.422,3.7601626016260163,0.984
35,9,5,4,5,4,0,11,5,5,1,0,2,2,44,3.090909090909091,2.9384615384615387,10,23,14,6,6,5,1,34.254,4.172,5.108,24.974,1.098,3.7540650406504064,0.984
34,8,4,4,4,4,0,13,6,6,1,0,3,3,44,3.090909090909091,2.9242424242424243,9,25,13,8,6,4,1,34.792,3.456,6.366,24.97,0.828,3.7195121951219514,0.984
40,6,3,3,1,5,0,9,4,5,0,0,1,3,44,3.090909090909091,3.033333333333333,8,20,11,11,6,3,1,32.324,3.2,4.188,24.936,0.828,3.8373493975903616,0.996
40,6,3,3,3,3,0,9,2,6,1,0,2,0,44,3.090909090909091,3.033333333333333,8,19,15,7,6,4,1,32.482,2.996,4.55,24.936,0.756,3.8012048192771086,0.996
41,6,3,3,2,4,0,8,3,5,0,0,1,2,44,3.090909090909091,3.0338983050847457,7,19,15,8,6,3,1,31.744,2.928,3.888,24.928,0.558,3.81563126252505,0.998
42,4,3,1,1,3,0,9,4,5,0,0,2,2,44,3.090909090909091,3.0689655172413794,6,20,13,9,6,3,1,31.578,2.178,4.474,24.926,0.576,3.7955911823647295,0.998
38,6,3,3,1,5,0,11,4,6,1,0,2,1,44,3.090909090909091,3.064516129032258,9,19,14,8,6,5,1,34.424,3.368,6.132,24.924,1.008,3.810483870967742,0.992
41,5,4,1,2,3,0,9,3,6,0,0,2,1,44,3.090909090909091,3.0508474576271185,8,18,13,10,6,3,1,31.694,2.874,3.902,24.918,0.864,3.911823647294589,0.998
36,8,5,3,4,4,0,11,5,6,0,0,4,1,44,3.090909090909091,2.953125,8,22,16,8,6,3,1,33.964,4.018,5.046,24.9,0.738,3.7419354838709675,0.992
35,9,5,4,4,5,0,11,7,4,0,0,4,3,44,3.090909090909091,2.953846153846154,8,23,15,9,6,3,1,33.884,3.926,5.064,24.894,0.918,3.7530364372469633,0.988
37,7,3,4,2,5,0,11,4,6,1,0,1,2,44,3.090909090909091,3.0476190476190474,10,18,15,8,6,5,1,34.588,3.91,5.796,24.882,1.044,3.8580121703853956,0.986
42,5,2,3,3,2,0,8,3,5,0,0,2,1,44,3.090909090909091,2.9827586206896552,8,19,14,7,6,3,1,30.672,2.46,3.338,24.874,0.36,3.8430583501006037,0.994
36,6,2,4,2,4,0,13,4,8,1,0,2,1,44,3.090909090909091,3.0,10,20,15,7,6,5,1,34.718,3.11,6.736,24.872,0.954,3.848178137651822,0.988
41,6,3,3,3,3,0,8,3,5,0,0,1,2,44,3.090909090909091,3.0338983050847457,7,20,13,9,6,3,1,31.674,3.076,3.738,24.86,0.738,3.8597194388777556,0.998
38,8,5,3,4,4,0,9,3,5,1,0,1,2,44,3.090909090909091,3.0161290322580645,7,23,13,8,6,4,1,33.13,3.802,4.494,24.834,0.882,3.7122736418511066,0.994
35,7,4,3,2,5,0,13,5,7,1,0,3,2,44,3.090909090909091,3.0307692307692307,8,20,18,8,6,4,1,35.216,3.966,6.416,24.834,1.044,3.911111111111111,0.99
38,6,2,4,1,5,0,11,5,5,1,0,3,1,44,3.090909090909091,3.064516129032258,9,18,16,7,6,5,1,34.5,3.198,6.47,24.832,1.044,3.8548387096774195,0.992
36,5,2,3,2,3,0,14,6,8,0,0,5,0,44,3.090909090909091,2.9375,10,21,15,7,6,4,1,34.008,2.592,6.584,24.832,0.99,3.83030303030303,0.99
42,7,3,4,2,5,0,6,2,4,0,0,1,1,44,3.090909090909091,3.0172413793103448,8,19,12,9,6,3,1,30.844,3.13,2.892,24.822,0.846,3.6987951807228914,0.996
40,6,3,3,3,3,0,9,4,4,1,0,2,1,44,3.090909090909091,3.066666666666667,8,20,13,7,6,5,1,32.382,3.242,4.33,24.81,0.9,3.902834008097166,0.988
35,7,3,4,3,4,0,13,5,8,0,0,2,2,44,3.090909090909091,2.953846153846154,10,21,15,8,6,4,1,34.648,3.398,6.444,24.806,0.99,3.791497975708502,0.988
41,7,4,3,2,5,0,7,3,4,0,0,2,1,44,3.090909090909091,3.0,8,19,14,8,6,3,1,31.512,3.746,2.968,24.798,0.72,3.7661290322580645,0.992
36,7,3,4,3,4,0,12,5,6,1,0,3,2,44,3.090909090909091,2.96875,8,23,15,7,6,4,1,33.928,3.176,5.96,24.792,0.846,3.7560975609756095,0.984
39,5,3,2,2,3,0,11,5,5,1,0,2,2,44,3.090909090909091,3.0491803278688523,9,20,12,8,6,5,1,33.026,2.462,5.772,24.792,0.738,3.81563126252505,0.998
41,5,2,3,2,3,0,9,3,6,0,0,2,1,44,3.090909090909091,3.016949152542373,9,17,14,9,6,3,1,31.588,2.496,4.302,24.79,0.702,3.9114688128772634,0.994
36,5,2,3,1,4,0,14,8,6,0,0,5,3,44,3.090909090909091,2.953125,9,21,15,9,6,3,1,34.158,2.67,6.702,24.786,1.062,3.881287726358149,0.994
43,6,4,2,2,4,0,6,3,3,0,0,2,1,44,3.090909090909091,3.017543859649123,8,19,11,9,6,3,1,30.126,2.994,2.362,24.77,0.81,3.7645875251509056,0.994
42,8,5,3,3,5,0,5,2,2,1,0,2,0,44,3.090909090909091,3.0344827586206895,8,19,13,7,6,4,1,30.552,3.738,2.054,24.76,0.72,3.6646586345381524,0.996
33,8,4,4,4,4,0,14,7,7,0,0,3,4,44,3.090909090909091,2.91044776119403,10,22,16,9,6,3,1,35.058,3.65,6.652,24.756,1.062,3.7987679671457903,0.974
40,6,3,3,4,2,0,9,4,5,0,0,1,2,44,3.090909090909091,3.033333333333333,8,19,15,7,6,4,1,32.47,3.32,4.396,24.754,1.044,3.8299595141700404,0.988
38,9,5,4,4,5,0,8,4,3,1,0,1,2,44,3.090909090909091,3.096774193548387,8,19,15,8,6,5,1,33.794,4.48,4.566,24.748,1.134,3.6897959183673468,0.98
42,4,2,2,2,2,0,9,5,4,0,0,3,1,44,3.090909090909091,3.0517241379310347,8,19,12,8,6,4,1,31.314,2.456,4.118,24.74,0.81,3.949698189134809,0.994
38,7,4,3,3,4,0,10,4,5,1,0,3,1,44,3.090909090909091,3.032258064516129,8,20,15,8,6,4,1,33.26,3.59,4.93,24.74,0.828,3.8620689655172415,0.986
38,4,2,2,1,3,0,13,4,8,1,0,4,0,44,3.090909090909091,3.0,9,19,16,7,6,4,1,33.162,2.516,5.932,24.714,0.792,4.028169014084507,0.994
37,6,3,3,1,5,0,12,4,7,1,0,2,1,44,3.090909090909091,3.0634920634920637,9,20,13,9,6,5,1,34.648,3.468,6.47,24.71,1.116,3.8559837728194726,0.986
35,8,5,3,4,4,0,12,7,4,1,0,3,3,44,3.090909090909091,3.0153846153846153,9,23,12,9,6,5,1,34.76,3.834,6.216,24.71,1.062,3.657258064516129,0.992
34,6,3,3,3,3,0,15,4,10,1,0,3,1,44,3.090909090909091,2.9393939393939394,10,22,15,8,6,4,1,35.378,3.028,7.642,24.708,1.17,3.842741935483871,0.992
39,4,2,2,1,3,0,12,6,6,0,0,2,3,44,3.090909090909091,3.0163934426229506,8,21,13,8,6,4,1,32.432,2.008,5.722,24.702,0.792,3.870967741935484,0.992
40,4,2,2,1,3,0,11,5,6,0,0,3,2,44,3.090909090909091,3.033333333333333,7,19,16,8,6,3,1,32.146,2.938,4.508,24.7,0.882,4.132530120481928,0.996
43,4,3,1,2,2,0,8,4,4,0,0,2,2,44,3.090909090909091,3.0350877192982457,8,17,14,8,6,3,1,30.628,2.114,3.826,24.688,0.828,3.867735470941884,0.998
35,8,5,3,3,5,0,12,6,5,1,0,3,3,44,3.090909090909091,2.9846153846153847,9,22,14,9,6,4,1,34.714,4.222,5.806,24.686,1.098,3.838056680161943,0.988
42,5,3,2,3,2,0,8,3,5,0,0,1,2,44,3.090909090909091,3.0344827586206895,7,19,14,8,6,3,1,31.308,2.862,3.764,24.682,0.99,3.9036144578313254,0.996
39,4,2,2,1,3,0,12,6,6,0,0,4,2,44,3.090909090909091,2.9836065573770494,8,20,15,8,6,3,1,32.296,2.114,5.506,24.676,0.63,3.9278557114228456,0.998
40,6,4,2,4,2,0,9,3,6,0,0,1,2,44,3.090909090909091,3.0,8,20,13,9,6,3,1,32.004,3.234,4.108,24.662,0.756,3.8577154308617234,0.998
37,6,4,2,4,2,0,12,5,7,0,0,3,2,44,3.090909090909091,2.9682539682539684,9,20,15,9,6,3,1,33.396,2.944,5.796,24.656,0.81,3.757085020242915,0.988
