lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
44,17,15,2,6,7,4,3,0,2,1,0,0,0,35,6.142857142857143,5.303571428571429,3,8,6,6,5,7,19,44.284,8.603,2.0,33.681,25.466,6.998677248677248,0.756
48,16,16,0,6,7,3,2,0,1,1,0,0,0,33,5.96969696969697,5.076923076923077,3,9,6,6,4,5,17,42.576,7.588,1.312,33.676,25.276,7.004848484848485,0.825
42,18,17,1,7,6,5,2,0,1,1,0,0,0,37,6.27027027027027,5.396551724137931,3,9,7,6,5,7,20,44.506,9.406,1.43,33.67,24.894,7.078145695364238,0.755
45,17,16,1,4,9,4,2,0,1,1,0,0,0,35,6.428571428571429,5.527272727272727,3,6,6,9,4,7,18,43.937,9.117,1.152,33.668,24.631,6.9627249357326475,0.778
41,19,17,2,7,9,3,1,0,1,0,0,0,0,38,6.421052631578948,5.4576271186440675,3,8,7,7,4,7,21,43.806,9.27,0.87,33.666,25.236,7.034805890227577,0.747
46,18,17,1,5,9,4,1,0,0,1,0,0,0,34,6.264705882352941,5.351851851851852,3,8,6,6,5,6,18,43.687,9.412,0.612,33.663,25.428,6.750898203592814,0.835
37,20,18,2,9,7,4,3,0,2,1,0,0,0,39,6.435897435897436,5.380952380952381,3,10,7,7,4,10,20,45.368,9.648,2.072,33.648,23.518,6.987270155586987,0.707
41,18,16,2,7,7,4,1,0,1,0,0,0,0,39,6.435897435897436,5.491525423728813,3,8,7,6,5,7,21,43.137,8.976,0.516,33.645,24.684,7.125,0.712
43,18,16,2,7,7,4,2,0,1,1,0,0,0,36,6.305555555555555,5.4035087719298245,3,8,6,7,4,8,19,44.626,9.71,1.272,33.644,24.959,6.8604651162790695,0.774
40,19,16,3,7,9,3,1,0,0,1,0,0,0,39,6.461538461538462,5.5,3,8,7,7,4,8,21,43.625,9.449,0.532,33.644,24.38,7.052558782849239,0.723
36,20,18,2,9,9,2,3,0,2,1,0,0,0,40,6.35,5.28125,3,11,7,7,4,8,22,44.609,9.182,1.784,33.643,24.644,7.018461538461539,0.65
34,23,21,2,9,11,3,3,0,2,1,0,0,0,39,6.282051282051282,5.166666666666667,3,11,7,10,4,8,21,46.201,10.775,1.788,33.638,24.507,6.914446002805049,0.713
43,19,16,3,8,8,3,3,0,2,1,0,0,0,34,5.9411764705882355,5.052631578947368,3,8,7,9,4,8,16,45.33,9.731,1.964,33.635,23.578,6.903797468354431,0.79
47,15,15,0,5,7,3,1,0,1,0,0,0,0,36,6.277777777777778,5.377358490566038,3,8,6,6,4,5,19,41.394,7.183,0.58,33.631,24.676,7.072072072072072,0.777
46,18,17,1,6,8,4,1,0,0,1,0,0,0,34,6.205882352941177,5.333333333333333,3,8,6,6,4,7,18,43.874,9.606,0.64,33.628,25.705,6.895131086142322,0.801
42,20,17,3,9,7,4,3,0,2,1,0,0,0,34,6.029411764705882,5.137931034482759,3,9,7,9,5,6,18,46.014,10.542,1.844,33.628,25.351,7.041984732824427,0.786
41,20,18,2,8,9,3,1,0,0,1,0,0,0,37,6.45945945945946,5.338983050847458,3,10,6,8,5,6,19,43.635,9.409,0.608,33.618,23.816,7.0105680317040955,0.757
38,22,20,2,10,9,3,2,0,1,1,0,0,0,37,6.4324324324324325,5.258064516129032,3,11,7,8,4,8,19,45.252,10.569,1.072,33.611,23.849,6.953580901856764,0.754
35,21,20,1,7,9,5,1,0,0,1,0,0,0,42,6.523809523809524,5.492307692307692,3,9,7,8,5,8,23,43.964,9.875,0.48,33.609,24.125,6.83963691376702,0.661
43,16,14,2,8,5,3,2,0,1,1,0,0,0,38,6.526315789473684,5.473684210526316,3,9,7,6,4,4,22,41.979,7.216,1.16,33.603,25.284,7.125,0.688
40,19,16,3,8,8,3,1,0,0,1,0,0,0,39,6.410256410256411,5.433333333333334,3,9,6,7,5,8,20,43.407,9.292,0.512,33.603,23.325,7.060117302052786,0.682
43,20,18,2,7,8,5,2,0,1,1,0,0,0,34,6.264705882352941,5.350877192982456,3,8,6,7,5,9,17,45.655,10.593,1.462,33.6,24.744,6.8922888616891065,0.817
36,22,20,2,8,10,4,2,0,1,1,0,0,0,39,6.410256410256411,5.375,3,9,7,9,4,8,22,45.417,10.779,1.044,33.594,25.737,6.943965517241379,0.696
37,23,21,2,9,9,5,2,0,1,1,0,0,0,37,6.216216216216216,5.2063492063492065,3,11,6,7,5,10,19,46.586,11.404,1.588,33.594,24.398,6.764473684210526,0.76
39,20,18,2,7,9,4,3,0,2,1,0,0,0,37,6.081081081081081,5.213114754098361,3,9,6,8,4,10,19,45.468,10.085,1.79,33.593,24.395,6.911528150134048,0.746
